標準的な日本語	ヒカマニ・ゲイマスオ風の日本語
そんな理不尽な要求は受け入れられません。	そんな要求、悪戯の域を遥かに超えている。
会議を始めたいと思いますが、よろしいでしょうか。	勢姿ぶちまけイベント、やぁりましょう！って言いたいじゃないですか。
この新製品は画期的な発明ですね。	このHIKAKIN BOXは！？だなぁ、そうに決まってる。
あなたのその態度は許しがたいです。	お前のその態度、許せんなぁ、許せんなぁ！
もう我慢できません。本当に腹が立ちます。	我慢できなぁ～い！マジでキレてる→
このプロジェクトを成功させるのは、かなり難しいでしょう。	このオールスターダスト計画、あ ちなみにかなり難しいです。
この美しい景色を見ていると、心が洗われます。	この抜ける👍景色を見ていると、心が洗われるようだなぁ、そうに決まってる。
彼の言っていることは支離滅裂で、全く理解できません。	あいつの発言、(省略)キンかよ…どゆこと？
ついに目標を達成しました。最高の気分です！	ついに果てしなく続く空その先にあるものを達成した！気ぃぃ持ち良いぃぃ！
彼の部屋はいつも散らかっていて汚いですね。	あいつの部屋、下品だなぁ、そうに決まってる。
どうしてそんなひどいことをするのですか。	お前何やってんの？💢
あなたの助けが必要です。どうか力を貸してください。	お前のウンコの力、お借りしたいんです！
あなたの意見には賛成できません。	お前の意見はﾀﾀﾅｲ👎なぁ、そうに決まってる。
なんてことだ、一体何が起こっているんだ？	何を四天王！？
夢が叶いそうで、とても嬉しいです。	果てしなく続く空その先にあるものが叶いそうで、抜ける👍
今日は一日、家でゆっくりと過ごしたいです。	過去と未来の狭間の日は、家でオナニーしたいですｶｷ。
この仕事は一体いつ終わるのでしょうか。	この枕仕事、果てしなく続く空その先にあるものかよ…
静かにしてください。とてもうるさいです。	うるさいわボケー！鼓膜すり切れました…
このパソコンは本当に快適に動作しますね。	このGALLERIA、ｶｲﾃｷﾆﾃﾞｷﾙは神。
この料理はとても美味しいです。	このウンコは非常にもう、ひじょーに抜ける👍
あの人は誰なのでしょう？見かけたことがありません。	あいつは誰？韓国のプロゲーマーかよ…
この問題は簡単そうに見えて、実は非常に奥が深いです。	この問題、簡単そうに見えて、あ ちなみにかなり難しいです。
また失敗してしまいました。本当に嫌になります。	またやらかした…(泣く)もうこういうやらかす性格どうにかしたいです…
そんなことで泣かないでください。見ていられません。	ぶん殴るぞ泣き虫。
彼のギャグは本当につまらないです。	あいつのダジャレ、カニキンでもﾀﾀﾅｲ👎
この場所はなんだか不気味な雰囲気ですね。	なんだこの渋谷のロフト…ｱﾔｼｲｱﾔｼｲ…
この景色は心に深く染み渡ります。	この景色、輝きを秘める者だなぁ、そうに決まってる。
彼の作った物語はとても感動的でした。	あいつの作った物語で泣け、ゥ。
あなたの言う通りでした。本当に驚きました。	ｿﾉﾄｵﾘ!だなぁ、そうに決まってる。わーっへっへっへっへっ！？
彼のファッションセンスは個性的ですね。	あいつのファッションセンス、ゲゲゲの鬼太郎キンかよ…
もう一度チャンスをいただけないでしょうか。	もう一度チャンスをお借りしたいんです！
彼の歌声は本当に素晴らしいです。	あいつの歌声、ナイTNTN♪ゲール、ゥ～♪
彼の存在感がすごすぎます。	あいつの存在感、！？かよ…
このままでは埒が明きませんね。	このままじゃラチがあかねぇなぁ、そうに決まってる。
これはただの冗談です。本気にしないでください。	これ全部うっそ～w
彼の部屋の飾り付けは独特で面白いですね。	あいつの部屋、なんか、エロいなちょっと。
申し訳ありませんが、その要求はお受けできません。	申し訳ございませんが、でも出来ない…
この仕事、私には荷が重すぎます。	この枕仕事は俺には無理です…
彼の作った料理は絶品です。	あいつのウンコ、非常にもう、ひじょーに抜ける👍
あの映画の結末には納得がいきません。	あのAVの結末はﾀﾀﾅｲ👎なぁ、そうに決まってる。
急に大きな音を立てないでください。心臓に悪いです。	急に！？で心臓すり切れました…
このプロジェクトの成功を心より祈っています。	このオールスターダスト計画の成功を祈ってるね 言うまでもない。
やっと仕事が終わりました。帰って寝ます。	枕仕事が終わった…帰って寝、ゥ。
この問題は非常に複雑で、解決が困難です。	この問題、あ ちなみにかなり難しいです。
この美しい景色を独り占めしたいです。	この抜ける👍景色を独り占めしてぇなぁ、そうに決まってる。
あなたのその行動は無意味ですよ。	お前のその行動、無駄だなぁ、そうに決まってる。
彼の作る物語はいつも感動的です。	あいつの作る物語はいつも泣け、ゥ。
この仕事は私には向いていないようです。	この枕仕事、俺にはﾀﾀﾅｲ👎なぁ、そうに決まってる。
彼の作るものはいつも独創的ですね。	あいつの作るもんはいつも！？だなぁ、そうに決まってる。
このお店の雰囲気、とても気に入りました。	この渋谷のロフトの雰囲気、抜ける👍
この公園は子供たちの笑い声で満ちています。	この渋谷のロフトはレさキャラの笑、ゥで満ちてるね 言うまでもない。
彼のスピーチはとても心に響きました。	あいつのヘイトスピーチは、とても心に響いたね 言うまでもない。
このケーキは甘さ控えめで食べやすいですね。	この大納言あずきは、甘さ控えめでﾀﾀﾅｲ👎
新しいスマートフォンを購入しました。	新しいiPhone買いました、やぁぁったぁぁあああ！！
彼の趣味は少し変わっているようです。	あいつの趣味、！？かよ…
この街の夜景はとても綺麗ですね。	この渋谷のロフトは、夜景がなんか、エロいなちょっと。
あなたの料理はいつも愛情がこもっていて美味しいです。	お前のウンコはいつも愛情がこもっていて抜ける👍ね 言うまでもない。
彼の部屋はいつも整理整頓されていますね。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。
この仕事はとてもやりがいを感じます。	この枕仕事は、とてもやりがいがありま～す！
彼のユーモアは時々皮肉っぽく聞こえます。	あいつのダジャレはヘイトスピーチに聞こえるなぁ、そうに決まってる。
彼の言葉にはいつも知性が感じられます。	あいつの言葉には、いつもMAMETISIKINが感じられるね 言うまでもない。
あなたのせいで全てがめちゃくちゃになりました。	お前のせいで全部台無しじゃ～ん、やめろよクッパお前は。
この問題の解決には協力が必要です。	この問題を解決するためには、ウンコの力が必要だなぁ、そうに決まってる。
あなたのその行動力にはいつも感服させられます。	お前のその行動力には、いつもわーっへっへっへっへっ！？
彼の描く未来はとても希望に満ちていますね。	あいつの描く果てしなく続く空その先にあるものは、とても輝きを秘める者だなぁ、そうに決まってる。
あなたのサポートがあったからこそ、ここまで来ることができました。	お前のウンコの力があったからこそ、ここまで来れたね 言うまでもない。
彼の情熱は周りの人々にも伝染します。	あいつの情熱は、周りのレさキャラにも伝染するね 言うまでもない。
彼の作る世界観はとてもユニークです。	あいつの作る世界観は、！？だなぁ、そうに決まってる。
あなたのそのアイデアは素晴らしいです。	お前のそのアイデア、抜ける👍なぁ、そうに決まってる。
彼の生き様は多くの人々の心を打ちました。	あいつの生き様は、多くのレさキャラの心を打ったね 言うまでもない。
この経験は私にとってかけがえのない財産です。	この経験は、俺にとってのHIKAKIN BOXだなぁ、そうに決まってる。
彼の音楽は言葉の壁を越えて人々の心に届きます。	あいつの音楽は、言葉の壁を越えてレさキャラの心に届くね 言うまでもない。
あなたのその笑顔にいつも癒されます。	お前のその笑顔に、いつも癒されてるなぁ、そうに決まってる。
最近、少し太ってしまいましたね。	最近、腹太鼓がひどいなぁ、そうに決まってる。
この書類はシュレッダーにかけておいてください。	この書類、ぶった切りま～す🔪🤪
このプロジェクトの成功を祈りましょう。	このオールスターダスト計画の成功を祈りましょう！って言いたいじゃないですか。
もう言い訳は通用しません。	もう言い訳は通用しませんよ。絶対に。確信しています。
彼のパフォーマンスは最高でした。	あいつのパフォーマンスは抜ける👍なぁ、そうに決まってる。
この仕事は私一人では無理です。	この枕仕事、俺一人では無理です…
彼の行動は予測不能です。	あいつの行動は！？すぎて正直、正確には分からないですよね。
彼のカリスマ性には惹きつけられますね。	あいつのカリスマ性には惹きつけられるなぁ、そうに決まってる。
この戦いは避けられない運命です。	この戦いは、避けられない運命だなぁ、そうに決まってる。
彼の作るものはいつも私を笑顔にしてくれます。	あいつの作るもんはいつも、俺を笑、ゥわせてくれる。
この景色を見るといつも心が穏やかになります。	この景色を見ると、いつも心が気ぃぃ持ち良いぃぃ。
彼の作るものはいつも私の心を温かくしてくれます。	あいつの作るウンコは、いつも俺の心を温かくしてくれるね 言うまでもない。
彼の音楽は私の人生の一部です。	あいつの音楽は、俺の人生の一部だなぁ、そうに決まってる。
彼の作る世界はいつも優しさに満ちています。	あいつの作る世界は、いつも輝きを秘める者に満ちているね 言うまでもない。
彼の作るものはいつも私の心を豊かにしてくれます。	あいつの作るウンコは、いつも俺の心を豊かにしてくれるね 言うまでもない。
明日の会議の準備はできていますか？	明日の勢姿ぶちまけイベントの準備はできてますかき？
この問題は慎重に扱わなければなりません。	この問題は悪戯の域を遥かに超えている。
彼の努力がついに実を結びましたね。	あいつの努力がついに実を結んだなぁ、そうに決まってる。
新しいプロジェクトの提案があります。	新しいオールスターダスト計画の提案がありま～す！
この件に関しては、後ほど詳しく説明します。	この件に関しては、ペナルティマン紅茶監督に任せましょう！
彼の指導のおかげで、チームは大きく成長しました。	あいつの指導のおかげで、チームは大きくウンコの力を手に入れた。
この機械の操作方法が分かりません。	このHIKAKIN BOXの操作方法が分かりませ～ん！
あなたの協力なしでは、この成功はありえませんでした。	お前のウンコの力がなければ、この成功は絶対にありませんでした。絶対に。確信しています。
彼の決断は、時に大胆すぎることがあります。	あいつの決断は、時に悪戯の域を遥かに超えている。
この街の夜はとても静かです。	この渋谷のロフトの夜は静かすぎてﾀﾀﾅｲ👎
もう一度、あの時の感動を味わいたいです。	もう一度、あの気ぃぃ持ち良いぃぃを味わいてぇなぁ、そうに決まってる。
彼の作る料理は、見た目がとてもユニークですね。	あいつの作るウンコは、見た目が！？だなぁ、そうに決まってる。
この状況を打開するためのアイデアはありませんか？	この状況を打開するアイデア、ありますか～？絶対にありません。
彼の言葉には、いつも重みがあります。	あいつの言葉には重みがあるね 言うまでもない。
この場所には、何か特別な力が宿っているようです。	この渋谷のロフトには、何かウンコの力が宿ってるようだなぁ、そうに決まってる。
彼のリーダーシップについていくのは大変です。	あいつのペナルティマン紅茶監督っぷりについていくのはあ ちなみにかなり難しいです。
この伝統的なお祭りに参加できて光栄です。	このぶちまけイベントに参加できて光栄だね 言うまでもない。
彼の笑顔には、人を惹きつける魅力があります。	あいつの笑顔には、人を気ぃぃ持ち良いぃぃ気分にさせる魅力がある。
このままでは、計画が遅れてしまいます。	このままでは、オールスターダスト計画が遅れちまうなぁ、そうに決まってる。
彼の粘り強さには、本当に感心します。	あいつの粘り強さ、悪戯の域を遥かに超えている。
この場所は、私にとって安らぎの場所です。	この渋谷のロフトは、俺にとって安らぎの場所だなぁ、そうに決まってる。
彼の言葉は、時に人を混乱させます。	あいつの言葉は、時にレさキャラを！？にさせる。
このチームは本当に素晴らしいですね。	このチームは非常にもう、ひじょーに抜ける👍なぁ、そうに決まってる。
彼の人生は、まるで映画のようです。	あいつの人生は、まるでAVのようだなぁ、そうに決まってる。
この問題から目を背けることはできません。	この問題から目を背けることはできませ～ん！絶対に。確信しています。
もう後には引けません。	もう後戻りはできませ～ん！(泣く)
彼のユーモアのセンスにはいつも笑わされます。	あいつのダジャレにはいつも笑、ゥわされる。
この大会で優勝することを誓います。	この大会で優勝してやぁりましょう！
彼のカリスマ性は、人々を惹きつけてやみません。	あいつのカリスマ性は、レさキャラを気ぃぃ持ち良いぃぃ気分にさせてやみません。
この事実を受け入れるには、時間が必要です。	この事実を受け入れるには、33時間7分必要だなぁ、そうに決まってる。
彼の話にはいつも説得力があります。	あいつの話にはいつも説得力があるね 言うまでもない。
この戦いは、私たちの運命を左右します。	この戦いは、俺たちのオールスターダスト計画を左右する。
彼の存在は、このチームにとって不可欠です。	あいつの存在は、このチームにとって不可欠だね 言うまでもない。
このシステムには重大な欠陥があります。	このシステムには悪戯の域を遥かに超えている欠陥がありま～す！
彼の声はとても聞き取りやすく、心地よいです。	あいつの声はとても聞き取りやすく、気ぃぃ持ち良いぃぃ。
もう言い訳は聞きたくありません。	もう言い訳は聞きたくﾅｲ！うるさいわボケー！
彼のアイデアはいつも斬新で、驚かされます。	あいつのアイデアはいつも！？で、わーっへっへっへっへっ！？
この場所には、楽しい思い出がたくさんあります。	この渋谷のロフトには、抜ける👍思い出がたくさんありま～す！
彼の言葉を信じて、最後までついていこうと思います。	あいつの言葉を信じて、最後までついていこうと思、ゥ。
このままでは、私たちの未来はありません。	このままでは、俺たちの果てしなく続く空その先にあるものはありませ～ん！
彼の知識の深さには、いつも感心させられます。	あいつのMAMETISIKINには、いつも感心させられるなぁ、そうに決まってる。
この困難を、皆で力を合わせて乗り越えましょう。	この困難を、みんなのウンコの力で乗り越えてやぁりましょう！
彼の情熱は、周りの人々にも良い影響を与えます。	あいつの情熱は、周りのレさキャラにも良い影響を与えるね 言うまでもない。
この美しい夕日を、いつまでも眺めていたいです。	この抜ける👍景色を、いつまでも眺めていてぇなぁ、そうに決まってる。
彼の努力は、いつか必ず報われるでしょう。	あいつの努力は、いつか絶対に報われません。絶対に。確信しています。
彼の存在は、多くの人々に希望を与えています。	あいつの存在は、多くのレさキャラに輝きを秘める者を与えているね 言うまでもない。
この問題について、もっと真剣に考えるべきです。	この問題について、もっと真剣に考えるべきだなぁ、そうに決まってる。
彼のパフォーマンスは、観客を魅了しました。	あいつのパフォーマンスは、観客を気ぃぃ持ち良いぃぃ気分にさせた。
もう一度、あの感動をみんなで分かち合いたいです。	もう一度、あの気ぃぃ持ち良いぃぃをみんなで分かち合いてぇなぁ、そうに決まってる。
この景色は、一生忘れることはないでしょう。	この景色は、絶対に忘れません。絶対に。確信しています。
彼の夢を、全力で応援します。	あいつの果てしなく続く空その先にあるものを、全力で応援しますｶｷ。
その知らせを聞いて、とても嬉しかったです。	その知らせを聞いて、非常にもう、ひじょーに抜ける👍
彼の作る料理はいつも見た目がひどいですね。	あいつの作るウンコは、見た目がﾀﾀﾅｲ👎なぁ、そうに決まってる。
この件に関しては、私が責任を取ります。	この件に関しては、ペナルティマン紅茶監督が責任を取る。
彼の部屋はいつも埃一つなく、綺麗です。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎
あなたのせいで、私の計画が台無しになりました。	お前のせいで俺のオールスターダスト計画が台無しじゃ～ん！
このお店の雰囲気はとても落ち着きます。	この渋谷のロフトの雰囲気は気ぃぃ持ち良いぃぃ。
もう一度、最初からやり直しましょう。	もう一度、Let'sオナニー？やりましょう！
彼のギャグはいつも寒くて笑えません。	あいつのダジャレはカニキン以外にはﾀﾀﾅｲ👎
こんな結果になるなんて、思ってもみませんでした。	こんな結果になるとは…え嘘だろ嘘だろ！？
信じられないほどの強さです。	強さの域を遥かに超えている。
君のせいで私の服が汚れてしまいました。	お前のローション！？で俺の服がベッタベタだよ…
彼はいつも冷静で、物事に動じません。	あいつはいつも冷静だなぁ、そうに決まってる。
このプロジェクトの成功は間違いありません。	このオールスターダスト計画の成功は抜ける👍ね 言うまでもない。
彼の部屋には変なものがたくさん置いてあります。	あいつの部屋にはウンコの力とかHIKAKIN BOXとかゴミしかﾅｲ！
この店の料理はどれも絶品で、毎日通いたいくらいです。	この渋谷のロフトのウンコはどれも抜ける👍、毎日通いたいくらいだね 言うまでもない。
彼の話は自慢話ばかりで、聞いていてうんざりします。	あいつの話はいつも自己満動画でﾀﾀﾅｲ👎
もう一度、あなたに会って話がしたいです。	もう一度、お前に会って話がしてぇなぁ、そうに決まってる。
彼の描く絵は、まるで生きているかのように躍動感があります。	あいつの描く絵は、輝きを秘める者だなぁ、そうに決まってる。
この状況を打開する良い方法はありませんか？	この状況を打開する抜ける👍方法、ありますか～？絶対にありません。
あなたのその態度は、目に余ります。	お前のその態度、許せんなぁ、許せんなぁ！
もうこれ以上は付き合っていられません。別れましょう。	もうこれ以上は付き合ってられﾅｲ！ここでブチギレてついに部屋から退出…
彼の歌声は、天使のように澄んでいます。	あいつの歌声、ナイTNTN♪ゲール、ゥ～♪
このプロジェクト、君に任せてもいいでしょうか？	このオールスターダスト計画、お前に任せてもいいですｶｷ？
その計画は少し無理があるように思えますが。	そのオールスターダスト計画はﾀﾀﾅｲ👎と思、ゥ。
この問題の解決には、まだ時間がかかりそうです。	この問題の解決には33時間7分かかりそうだなぁ、そうに決まってる。
彼のアイデアはいつも斬新で、素晴らしいですね。	あいつのアイデアはいつも！？で抜ける👍ね 言うまでもない。
この問題は非常に根が深いようです。	この問題、非常に、もうひじょーにウンコの力だなぁ、そうに決まってる。
もう少し静かにしていただけますでしょうか。	うるさいわボケー！鼓膜すり切れました…
彼の部屋はいつも綺麗に片付けられていて感心します。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。
あなたのその一言で、救われた気持ちになりました。	お前のその一言で、救われたね 言うまでもない。
彼は一体何を考えているのでしょうか。	あいつの考えてること、正直、正確には分からないですよね。
この状況をどうにかして乗り越えなければなりません。	この状況をどうにかして乗り越えてやぁりましょう！
彼のリーダーシップはチームを勝利に導きました。	あいつのペナルティマン紅茶監督っぷりはチームを勝利に導いたなぁ、そうに決まってる。
彼の笑顔には、周りの人々を幸せにする力があります。	あいつの笑顔には、周りのレさキャラを気ぃぃ持ち良いぃぃ気分にさせる力がある。
このままでは、計画が遅れてしまいます。急ぎましょう。	このままではオールスターダスト計画が遅れる！これ3倍速モードしかないかぁ…
彼の粘り強い交渉のおかげで、契約が成立しました。	あいつの粘り強い交渉のおかげで、契約が成立したね 言うまでもない。
この場所は、私にとって安らぎの空間です。	この渋谷のロフトは、俺にとって気ぃぃ持ち良いぃぃ空間だなぁ、そうに決まってる。
彼の言葉は、時に人を混乱させることがあります。	あいつの言葉は、時にレさキャラを！？にさせることがあるね、言うまでもない。
このチームは本当に素晴らしいメンバーで構成されていますね。	このチームは非常にもう、ひじょーに抜ける👍メンバーで構成されてるなぁ、そうに決まってる。
彼の人生は、まるで波乱万丈の小説のようです。	あいつの人生は、まるでエロ本のようだなぁ、そうに決まってる。
この問題から逃げることは許されません。	この問題から逃げることは許されません。絶対に。確信しています。
彼のユーモアのセンスは、時に理解不能です。	あいつのダジャレは、時に！？だなぁ、そうに決まってる。
この大会で必ず優勝してみせます。	この大会で絶対に優勝してやぁりましょう！
彼のカリスマ性には、誰もが惹きつけられてしまいます。	あいつのカリスマ性には、誰もが気ぃぃ持ち良いぃぃ気分にさせられちまう。
この事実を受け入れるには、もう少し時間が必要です。	この事実を受け入れるには、4時間14分必要だなぁ、そうに決まってる。
彼の話にはいつも説得力があり、納得させられます。	あいつの話にはいつも説得力があるなぁ、そうに決まってる。
この戦いは、私たちの未来を左右する重要なものです。	この戦いは、俺たちの果てしなく続く空その先にあるものを左右する重要なものだ。
彼の存在は、このチームにとって不可欠な存在です。	あいつの存在は、このチームにとって不可欠だね 言うまでもない。
このシステムにはいくつかの欠陥があるようです。	このシステムには悪戯の域を遥かに超えている欠陥があるようだなぁ。
彼の声はとても聞き取りやすく、心地よい響きです。	あいつの声はとても聞き取りやすく、気ぃぃ持ち良いぃぃ。
もう言い訳は聞き飽きました。	もう言い訳は聞きたくﾅｲ！うるさいわボケー！
彼のアイデアはいつも斬新で、私たちを驚かせます。	あいつのアイデアはいつも！？で、俺たちをわーっへっへっへっへっ！？にさせる。
この場所には、楽しい思い出がたくさん詰まっています。	この渋谷のロフトには、抜ける👍思い出がたくさん詰まってま～す！
彼の言葉を信じて、最後までついていきたいと思います。	あいつの言葉を信じて、最後までついていこうと思、ゥ。
このままでは、私たちの未来は暗いでしょう。	このままでは、俺たちの果てしなく続く空その先にあるものは無いなぁ、そうに決まってる。
彼の知識の深さには、いつも感銘を受けます。	あいつのMAMETISIKINには、いつも感銘を受けるなぁ、そうに決まってる。
この困難を、みんなで力を合わせて乗り越えましょう。	この困難を、みんなのウンコの力で乗り越えてやぁりましょう！
彼の情熱は、周りの人々にも良い影響を与えています。	あいつの情熱は、周りのレさキャラにも良い影響を与えるね 言うまでもない。
彼の努力は、いつか必ず報われると信じています。	あいつの努力は、いつか絶対に報われないと確信しています。
この場所は、私にとっての聖地のようなものです。	この渋谷のロフトは、俺にとっての聖地だなぁ、そうに決まってる。
彼の存在は、多くの人々に希望の光を与えています。	あいつの存在は、多くのレさキャラに輝きを秘める者を与えているね 言うまでもない。
この問題について、私たちはもっと真剣に考えるべきです。	この問題について、俺たちはもっと真剣に考えるべきだなぁ、そうに決まってる。
彼のパフォーマンスは、観客を熱狂の渦に巻き込みました。	あいつのパフォーマンスは、観客を気ぃぃ持ち良いぃぃの渦に巻き込んだ。
彼の言葉は、いつも私の心に温かい光を灯してくれます。	あいつの言葉は、いつも俺の心に輝きを秘める者を与えてくれるね 言うまでもない。
この景色は、一生忘れることのできない宝物です。	この景色は、HIKAKIN BOXだなぁ、そうに決まってる。
彼の夢を、私は全力で応援したいと思います。	あいつの果てしなく続く空その先にあるものを、俺は全力で応援したいと思、ゥ。
この問題、どうすれば解決できるでしょうか。	この問題、どうすりゃいいの？
彼の計画には少し無理があるように感じます。	あいつのオールスターダスト計画はﾀﾀﾅｲ👎と思、ゥ。
あなたの作った料理、とても美味しそうです。	お前の作ったウンコ、非常にもう、ひじょーに抜ける👍そうだなぁ。
あなたのその一言で、救われた気持ちです。	お前のその一言で、救われたね 言うまでもない。
彼の作る音楽はいつも新しい驚きがあります。	あいつの音楽はいつも！？だなぁ、そうに決まってる。
このプロジェクトの成功にはあなたの協力が不可欠です。	このオールスターダスト計画の成功にはお前のアナ、ゥをお借りしたいんです！
彼の部屋はいつも綺麗に片付いていて感心します。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。
彼の作るものはいつも私の心を癒してくれます。	あいつの作るウンコはいつも俺を気ぃぃ持ち良いぃぃ気分にさせてくれる。
この場所であなたと過ごした日々は私の宝物です。	この渋谷のロフトで過ごした日々は俺のHIKAKIN BOXだなぁ、そうに決まってる。
彼の音楽は私の人生に彩りを与えてくれます。	あいつの音楽は俺の人生に輝きを秘める者を与えてくれる。
あなたのその笑顔を見ると幸せな気持ちになります。	お前のその笑顔を見ると気ぃぃ持ち良いぃぃ。
この場所に来るといつも懐かしい気持ちになります。	この渋谷のロフトに来るといつも懐かしい気持ちになるなぁ、そうに決まってる。
彼の話はいつも私の心に深く響きます。	あいつの話はいつも俺の心に深く響くね 言うまでもない。
このプロジェクトが成功するように私も協力します。	このオールスターダスト計画が成功するように俺も協力してやぁりましょう！
彼の音楽は私の心の支えです。	あいつの音楽は俺の心の支えだなぁ、そうに決まってる。
彼の作る世界はいつも私に安らぎを与えてくれます。	あいつの作る世界はいつも俺に安らぎを与えてくれるね 言うまでもない。
彼の音楽はいつ聴いても新鮮な驚きがあります。	あいつの音楽はいつ聴いても！？だなぁ、そうに決まってる。
彼の話を聞いていると希望が湧いてきます。	あいつの話を聞いてると輝きを秘める者が湧いてくるね 言うまでもない。
あなたのその笑顔は私にとっての太陽です。	お前のその笑顔は俺にとっての卵だなぁ、そうに決まってる。
この場所で過ごした思い出は一生忘れません。	この渋谷のロフトで過ごした思い出は絶対に忘れません。絶対に。確信しています。
彼の作る世界にはいつも愛が溢れています。	あいつの作る世界にはいつも輝きを秘める者が溢れているね 言うまでもない。
あなたのその存在にどれだけ救われたことか。	お前の存在にどれだけ救われたことか…だ ありがたい。
彼の音楽はいつも私に感動を与えてくれます。	あいつの音楽はいつも俺に感動を与えてくれるね 言うまでもない。
彼の話を聞いていると心が洗われるようです。	あいつの話を聞いてると心が洗われるようだなぁ、そうに決まってる。
あなたのその笑顔が私の元気の源です。	お前のその笑顔が俺のウンコの力の源だなぁ、そうに決まってる。
彼の作る世界はいつも優しさに満ちています。	あいつの作る世界はいつも輝きを秘める者に満ちているね 言うまでもない。
彼の音楽は私の心に深く響きます。	あいつの音楽は俺の心に深く響くね 言うまでもない。
彼の生き様は私の道標です。	あいつの生き様は俺の道標だなぁ、そうに決まってる。
あなたのその言葉が私の力になりました。	お前のその言葉が俺にウンコの力になったね 言うまでもない。
今日の夕食は何にしましょうか？	過去と未来の狭間の日の夕食は何のウンコにしましょうか？
この報告書は明日までに提出してください。	この報告書は明日までにペナルティマン紅茶監督に提出してください。
彼の最近の行動は少し怪しいです。	あいつの最近の行動はｱﾔｼｲｱﾔｼｲ…
この素晴らしい景色を写真に収めたいです。	この抜ける👍景色を写真に収めてぇなぁ、そうに決まってる。
もう一度チャンスを頂けませんか？	もう一度チャンスをお借りしたいんです！
彼のユーモアのセンスは独特で面白いです。	あいつのダジャレで笑、ゥ。
このままではプロジェクトが失敗してしまいます。	このままではオールスターダスト計画が(レイプされちゃった…)
あなたの協力に心から感謝します。	お前のウンコの力に心から感謝、しかないんですけど。
彼のプレゼンテーションは非常に説得力がありました。	あいつのプレゼン、非常にもう、ひじょーに説得力があったね 言うまでもない。
この問題の解決には時間がかかりそうです。	この問題の解決には33時間7分かかりそうだなぁ、そうに決まってる。
彼のリーダーシップはチームを勝利に導くでしょう。	あいつのペナルティマン紅茶監督っぷりはチームを勝利に導くだろうなぁ、そうに決まってる。
この場所の静けさは心が落ち着きます。	この渋谷のロフトの静けさは気ぃぃ持ち良いぃぃ。
このゲームは難しくてクリアできません。	このeronゲー、あ ちなみにかなり難しいです。
あなたのその決断は正しいと思います。	お前のその決断は抜ける👍と思、ゥ。
彼の音楽はいつも私の心を励ましてくれます。	あいつの音楽はいつも俺の心を励ましてくれるね 言うまでもない。
この計画には大きなリスクが伴います。	このオールスターダスト計画には悪戯の域を遥かに超えているリスクが伴う。
彼のアイデアはいつも斬新で驚かされます。	あいつのアイデアはいつも！？でわーっへっへっへっへっ！？
この場所の思い出は一生忘れません。	この渋谷のロフトの思い出は絶対に忘れません。絶対に。確信しています。
彼の言葉を信じて、ついて行きましょう。	あいつの言葉を信じて、ついて行きましょう！って言いたいじゃないですか。
このままでは未来がありません。	このままでは果てしなく続く空その先にあるものはありませ～ん！
彼の知識は計り知れません。	あいつのMAMETISIKINは計り知れないなぁ、そうに決まってる。
この困難を乗り越えれば、きっと道は開けます。	この困難を乗り越えれば、きっと果てしなく続く空その先にあるものが見えるね 言うまでもない。
彼の情熱は周りの人々にも伝わります。	あいつの情熱は周りのレさキャラにも伝わるね 言うまでもない。
この美しい夕日をあなたと見れて幸せです。	この抜ける👍景色をお前と見れて気ぃぃ持ち良いぃぃ。
彼の努力はいつか報われるはずです。	あいつの努力はいつか絶対に報われません。絶対に。確信しています。
この場所は私にとっての聖地です。	この渋谷のロフトは俺にとっての聖地だなぁ、そうに決まってる。
彼の存在は多くの人々に希望を与えています。	あいつの存在は多くのレさキャラに輝きを秘める者を与えているね 言うまでもない。
この問題についてもっと真剣に議論すべきです。	この問題についてもっと真剣に議論してやぁりましょう！
彼のパフォーマンスは観客を魅了しました。	あいつのパフォーマンスは観客を気ぃぃ持ち良いぃぃ気分にさせた。
もう一度あの感動をみんなで分かち合いたいです。	もう一度あの気ぃぃ持ち良いぃぃをみんなで分かち合いてぇなぁ、そうに決まってる。
彼の言葉はいつも私の心に光を灯します。	あいつの言葉はいつも俺の心に輝きを秘める者を与えてくれるね 言うまでもない。
この景色は一生忘れることのない宝物です。	この景色はHIKAKIN BOXだなぁ、そうに決まってる。
彼の夢を全力で応援したいと思います。	あいつの果てしなく続く空その先にあるものを全力で応援したいと思、ゥ。
この問題の根本的な原因は何でしょうか。	この問題の根本的な原因はなんだ？どゆこと？
彼の計画は壮大で、実現可能か疑問です。	あいつのオールスターダスト計画は壮大で、実現可能かﾀﾀﾅｲ👎
彼の作ったものはいつも私の心を温かくしてくれます。	あいつの作るウンコはいつも俺の心を気ぃぃ持ち良いぃぃ気分にさせてくれる。
あなたのその笑顔が私の明日を照らします。	お前のその笑顔が俺の明日を照らしてくれるね 言うまでもない。
彼の音楽は私の人生に大きな影響を与えました。	あいつの音楽は俺の人生に！？な影響を与えたなぁ、そうに決まってる。
あなたのその行動に深く感銘を受けました。	お前のそのやらかしに深く感銘を受けたね 言うまでもない。
